4.2	0.14637
4.19	0.14705
4.17	0.14824
4.16	0.14926
4.14	0.15045
4.13	0.15147
4.11	0.153
4.1	0.15419
4.08	0.15504
4.07	0.15606
4.05	0.15725
4.04	0.15844
4.02	0.1598
4.01	0.16099
3.99	0.16235
3.97	0.16388
3.96	0.16524
3.94	0.16626
3.92	0.16711
3.91	0.16898
3.89	0.17017
3.87	0.17204
3.85	0.1734
3.84	0.17544
3.82	0.17714
3.8	0.17884
3.78	0.18054
3.76	0.18224
3.74	0.18428
3.72	0.18683
3.7	0.18887
3.68	0.19091
3.66	0.1938
3.64	0.19601
3.62	0.19839
3.6	0.2006
3.58	0.20519
3.56	0.20791
3.53	0.21063
3.51	0.21386
3.49	0.21709
3.46	0.22049
3.44	0.22355
3.41	0.22729
3.39	0.23086
3.36	0.23494
3.34	0.23936
3.31	0.24395
3.28	0.2482
3.25	0.25194
3.22	0.25806
3.19	0.26384
3.16	0.26962
3.13	0.27591
3.1	0.28305
3.06	0.29019
3.03	0.29784
2.99	0.30634
2.95	0.31467
2.92	0.32555
2.87	0.33626
2.85	0.34867
2.79	0.36193
2.74	0.37706
2.68	0.39695
2.63	0.41446
2.57	0.43826
2.5	0.46376
2.43	0.49555
2.34	0.53788
2.33	0.59177
2.27	0.59058
2.22	0.62186
2.17	0.66266
2.11	0.7327
2.09	0.7922
2.08	0.8058
2.07	0.82025
2.05	0.83504
2.04	0.8517
2.02	0.867
2.01	0.8857
1.99	0.90491
1.98	0.9248
1.96	0.94605
1.94	0.9724
1.92	0.9945
1.91	1.0234
1.89	1.0523
1.87	1.0846
1.85	1.12285
1.82	1.16025
1.8	1.2087
1.8	1.2563
1.78	1.3141
1.75	1.37955
