Record Length,10000,Points,-15.2000E-3,315.40000E-3,
Sample Interval,20.0000E-6,s,-15.1800E-3,314.59999E-3,
Trigger Point,760.000032,Samples,-15.1600E-3,314.20001E-3,
,,,-15.1400E-3,314.20001E-3,
,,,-15.1200E-3,314.20001E-3,
,,,-15.1000E-3,315.00000E-3,
Source,CH1,,-15.0800E-3,315.00000E-3,
Vertical Units,V,,-15.0600E-3,315.00000E-3,
Vertical Scale,10.00000E-3,,-15.0400E-3,313.80001E-3,
Vertical Offset,6.20000E-3,,-15.0200E-3,314.59999E-3,
Horizontal Units,s,,-15.0000E-3,314.59999E-3,
Horizontal Scale,20.0000E-3,,-14.9800E-3,315.00000E-3,
Pt Fmt,Y,,-14.9600E-3,313.80001E-3,
Yzero,.,,-14.9400E-3,315.00000E-3,
Probe Atten,10.0000,,-14.9200E-3,313.80001E-3,
,,,-14.9000E-3,314.20001E-3,
Note,TDS 3012 - 2:43:11 PM   4/21/2009,,-14.8800E-3,314.59999E-3,
,,,-14.8600E-3,314.59999E-3,
,,,-14.8400E-3,313.80001E-3,
,,,-14.8200E-3,314.20001E-3,
,,,-14.8000E-3,315.00000E-3,
,,,-14.7800E-3,314.20001E-3,
,,,-14.7600E-3,314.59999E-3,
,,,-14.7400E-3,314.59999E-3,
,,,-14.7200E-3,314.59999E-3,
,,,-14.7000E-3,315.00000E-3,
,,,-14.6800E-3,314.59999E-3,
,,,-14.6600E-3,314.20001E-3,
,,,-14.6400E-3,314.59999E-3,
,,,-14.6200E-3,314.20001E-3,
,,,-14.6000E-3,314.59999E-3,
,,,-14.5800E-3,314.59999E-3,
,,,-14.5600E-3,314.59999E-3,
,,,-14.5400E-3,315.00000E-3,
,,,-14.5200E-3,314.59999E-3,
,,,-14.5000E-3,315.00000E-3,
,,,-14.4800E-3,314.59999E-3,
,,,-14.4600E-3,314.20001E-3,
,,,-14.4400E-3,315.00000E-3,
,,,-14.4200E-3,314.20001E-3,
,,,-14.4000E-3,314.59999E-3,
,,,-14.3800E-3,314.59999E-3,
,,,-14.3600E-3,315.40000E-3,
,,,-14.3400E-3,314.20001E-3,
,,,-14.3200E-3,313.80001E-3,
,,,-14.3000E-3,315.00000E-3,
,,,-14.2800E-3,315.80001E-3,
,,,-14.2600E-3,314.59999E-3,
,,,-14.2400E-3,314.20001E-3,
,,,-14.2200E-3,315.40000E-3,
,,,-14.2000E-3,314.59999E-3,
,,,-14.1800E-3,314.20001E-3,
,,,-14.1600E-3,314.59999E-3,
,,,-14.1400E-3,313.80001E-3,
,,,-14.1200E-3,314.59999E-3,
,,,-14.1000E-3,314.59999E-3,
,,,-14.0800E-3,313.80001E-3,
,,,-14.0600E-3,315.00000E-3,
,,,-14.0400E-3,314.59999E-3,
,,,-14.0200E-3,314.20001E-3,
,,,-14.0000E-3,314.20001E-3,
,,,-13.9800E-3,315.00000E-3,
,,,-13.9600E-3,315.00000E-3,
,,,-13.9400E-3,315.00000E-3,
,,,-13.9200E-3,313.80001E-3,
,,,-13.9000E-3,314.59999E-3,
,,,-13.8800E-3,315.40000E-3,
,,,-13.8600E-3,315.00000E-3,
,,,-13.8400E-3,314.20001E-3,
,,,-13.8200E-3,314.20001E-3,
,,,-13.8000E-3,314.59999E-3,
,,,-13.7800E-3,315.00000E-3,
,,,-13.7600E-3,315.00000E-3,
,,,-13.7400E-3,315.00000E-3,
,,,-13.7200E-3,314.20001E-3,
,,,-13.7000E-3,314.59999E-3,
,,,-13.6800E-3,314.59999E-3,
,,,-13.6600E-3,314.59999E-3,
,,,-13.6400E-3,315.00000E-3,
,,,-13.6200E-3,314.59999E-3,
,,,-13.6000E-3,314.20001E-3,
,,,-13.5800E-3,314.59999E-3,
,,,-13.5600E-3,314.59999E-3,
,,,-13.5400E-3,314.20001E-3,
,,,-13.5200E-3,315.00000E-3,
,,,-13.5000E-3,315.40000E-3,
,,,-13.4800E-3,314.59999E-3,
,,,-13.4600E-3,314.20001E-3,
,,,-13.4400E-3,314.20001E-3,
,,,-13.4200E-3,315.00000E-3,
,,,-13.4000E-3,315.00000E-3,
,,,-13.3800E-3,314.20001E-3,
,,,-13.3600E-3,314.20001E-3,
,,,-13.3400E-3,314.59999E-3,
,,,-13.3200E-3,314.59999E-3,
,,,-13.3000E-3,314.59999E-3,
,,,-13.2800E-3,313.40000E-3,
,,,-13.2600E-3,313.40000E-3,
,,,-13.2400E-3,314.20001E-3,
,,,-13.2200E-3,314.20001E-3,
,,,-13.2000E-3,315.80001E-3,
,,,-13.1800E-3,314.20001E-3,
,,,-13.1600E-3,314.20001E-3,
,,,-13.1400E-3,314.20001E-3,
,,,-13.1200E-3,314.20001E-3,
,,,-13.1000E-3,314.59999E-3,
,,,-13.0800E-3,314.59999E-3,
,,,-13.0600E-3,315.00000E-3,
,,,-13.0400E-3,314.20001E-3,
,,,-13.0200E-3,315.40000E-3,
,,,-13.0000E-3,314.59999E-3,
,,,-12.9800E-3,314.59999E-3,
,,,-12.9600E-3,313.80001E-3,
,,,-12.9400E-3,314.59999E-3,
,,,-12.9200E-3,314.20001E-3,
,,,-12.9000E-3,314.20001E-3,
,,,-12.8800E-3,314.20001E-3,
,,,-12.8600E-3,314.20001E-3,
,,,-12.8400E-3,314.20001E-3,
,,,-12.8200E-3,314.59999E-3,
,,,-12.8000E-3,314.20001E-3,
,,,-12.7800E-3,315.40000E-3,
,,,-12.7600E-3,315.00000E-3,
,,,-12.7400E-3,314.20001E-3,
,,,-12.7200E-3,315.00000E-3,
,,,-12.7000E-3,315.00000E-3,
,,,-12.6800E-3,314.59999E-3,
,,,-12.6600E-3,314.59999E-3,
,,,-12.6400E-3,315.40000E-3,
,,,-12.6200E-3,314.59999E-3,
,,,-12.6000E-3,315.00000E-3,
,,,-12.5800E-3,313.80001E-3,
,,,-12.5600E-3,315.00000E-3,
,,,-12.5400E-3,314.20001E-3,
,,,-12.5200E-3,314.20001E-3,
,,,-12.5000E-3,315.00000E-3,
,,,-12.4800E-3,315.00000E-3,
,,,-12.4600E-3,314.20001E-3,
,,,-12.4400E-3,315.00000E-3,
,,,-12.4200E-3,314.59999E-3,
