0.10000	2724.0								
0.20000	2614.0								
0.30000	2279.0								
0.40000	1160.0								
0.50000	1076.0								
0.60000	974.00								
0.70000	964.00								
0.80000	1010.0								
0.90000	1006.0								
1.0000	999.00								
1.1000	1086.0								
1.2000	1200.0								
1.3000	1207.0								
1.4000	1242.0								
1.5000	1142.0								
1.6000	1011.0								
1.7000	896.00								
1.8000	817.00								
1.9000	751.00								
2.0000	644.00								
2.1000	518.00								
2.2000	415.00								
2.3000	388.00								
2.4000	307.00								
2.5000	245.00								
2.6000	252.00								
2.7000	198.00								
2.8000	146.00								
2.9000	150.00								
3.0000	130.00								
3.1000	138.00								
3.2000	96.000								
3.3000	104.00								
3.4000	85.000								
3.5000	77.000								
3.6000	76.000								
3.7000	57.000								
3.8000	68.000								
3.9000	54.000								
4.0000	52.000								
4.1000	47.000								
4.2000	48.000								
4.3000	35.000								
4.4000	36.000								
4.5000	39.000								
4.6000	40.000								
4.7000	31.000								
4.8000	28.000								
4.9000	32.000								
5.0000	29.000								
5.1000	17.000								
5.2000	20.000								
5.3000	30.000								
5.4000	20.000								
5.5000	21.000								
5.6000	22.000								
5.7000	24.000								
5.8000	14.000								
5.9000	17.000								
6.0000	26.000								
6.1000	25.000								
6.2000	21.000								
6.3000	20.000								
6.4000	19.000								
6.5000	18.000								
6.6000	7.0000								
6.7000	9.0000								
6.8000	12.000								
6.9000	13.000								
7.0000	12.000								
7.1000	17.000								
7.2000	11.000								
7.3000	14.000								
7.4000	11.000								
7.5000	18.000								
7.6000	11.000								
7.7000	12.000								
7.8000	13.000								
7.9000	18.000								
8.0000	13.000								
