Run started at:  2/5/2009 5:28:28 PM
Event	Real Time (min)	Lifetime (microsec)
244	   116.00	 4.2890
245	   116.17	 0.3910
246	   116.59	 0.1190
247	   117.93	 0.4110
248	   118.02	 0.1220
249	   118.36	 9.1740
250	   119.28	 1.8100
251	   119.45	 1.8570
252	   121.96	 3.4310
253	   122.05	 2.1610
254	   123.14	 0.1110
255	   123.23	 0.2910
256	   124.32	 1.7410
257	   124.66	 0.1200
258	   124.75	 0.6100
259	   126.09	 1.8730
260	   126.17	 0.5100
261	   126.35	 0.2820
262	   127.52	 3.1370
263	   127.78	 1.3500
264	   130.12	 1.8000
265	   130.45	 6.5520
266	   130.71	 3.6100
267	   130.80	 1.0780
268	   131.97	 0.1880
269	   132.06	 0.3700
270	   132.65	 0.2690
271	   132.91	 0.1200
272	   134.33	 0.4890
273	   134.58	 5.0240
274	   135.34	 4.2100
275	   136.01	 3.0390
276	   136.10	 1.0980
277	   136.36	 0.4000
278	   136.86	 0.3440
279	   137.20	 3.4900
280	   137.62	 1.2410
281	   138.05	 0.5700
282	   138.47	 0.1200
283	   138.81	 0.9310
284	   140.56	 0.1200
285	   140.65	 2.0510
286	   141.83	 1.5110
287	   142.25	 1.1700
288	   142.34	 5.1150
289	   142.76	 0.1200
290	   143.27	 0.2190
291	   143.86	10.6100
292	   143.94	 2.1300
293	   144.20	 2.2110
294	   144.37	 0.1190
295	   144.46	 8.7330
296	   145.38	 3.6230
297	   145.97	 0.1200
298	   146.40	 0.7910
299	   146.98	 3.0900
300	   147.16	 0.4000
301	   147.83	 0.1500
302	   148.92	 0.7900
303	   149.17	 1.2600
304	   149.26	 0.9990
305	   150.10	 1.0690
306	   150.78	 0.6990
307	   151.95	 0.6780
308	   153.37	 0.1220
309	   153.79	 0.2900
310	   154.72	 0.8580
311	   156.81	 0.2610
312	   158.23	 0.2510
313	   158.65	 1.3600
314	   159.32	 1.9870
315	   160.33	 0.7190
316	   160.67	 3.3570
317	   161.26	 1.2330
318	   161.60	 0.1190
319	   161.85	 1.5400
320	   162.28	 3.7800
321	   162.62	 1.3460
322	   163.12	 0.3300
323	   163.54	 0.1180
324	   163.88	 0.1900
325	   164.56	 5.0000
326	   164.64	 3.4000
327	   164.73	 0.8230
328	   165.16	 0.0100
329	   165.33	 7.2600
330	   166.75	 7.8950
331	   166.92	 2.4100
332	   167.01	 1.3240
333	   167.10	 0.9600
334	   167.94	 0.1400
335	   168.28	 0.5840
336	   168.70	 7.3300
337	   170.04	 2.7600
338	   170.30	 0.5900
339	   171.14	 5.1910
340	   171.73	 2.1720
341	   171.81	 0.1200
342	   172.49	 0.1200
343	   172.58	 1.9920
344	   172.83	 0.1200
345	   174.84	 0.6090
346	   175.01	 2.7340
347	   175.43	 0.1200
348	   176.44	 1.8200
349	   177.11	 2.5500
350	   177.37	 1.4990
351	   177.46	 0.2110
352	   177.88	 1.1020
353	   178.30	 0.4810
354	   178.56	 2.8890
355	   178.65	 2.0290
356	   178.73	 0.2700
357	   179.99	 1.1200
358	   180.75	 1.6700
359	   181.00	 0.3000
360	   181.26	 0.7700
361	   182.01	 1.5190
362	   182.52	 0.2840
363	   183.19	 0.6080
364	   183.70	 0.1190
365	   183.95	 4.8390
366	   184.38	 2.9800
367	   185.30	 0.1110
368	   185.89	 0.4830
369	   186.89	 6.2120
370	   187.57	 2.8700
371	   188.41	 4.3790
372	   188.49	 2.5700
373	   188.83	 0.1930
374	   189.26	 0.1190
375	   189.85	 0.6900
376	   190.02	 0.4000
377	   190.19	 0.2060
378	   191.03	 0.7090
379	   191.20	 0.1200
380	   191.29	 1.8500
381	   191.80	 3.3910
382	   192.39	 0.1200
383	   192.73	 0.1300
384	   193.56	 1.3020
385	   193.65	 1.1000
386	   194.33	 1.4350
387	   194.41	 0.2310
388	   194.59	 0.4510
389	   195.09	 0.1210
390	   195.52	 0.5300
391	   196.60	 0.5360
392	   197.28	 0.1800
393	   198.28	 0.1910
394	   198.62	 2.7100
395	   198.88	 2.1710
396	   199.05	 0.1200
397	   199.14	 0.9210
398	   199.73	 0.1970
399	   200.40	 0.2390
400	   200.49	 0.5700
401	   201.00	 0.1210
402	   201.25	 0.1220
403	   202.01	 0.1200
404	   202.18	 1.0500
405	   202.52	 0.4800
406	   202.86	 5.6580
407	   203.03	 0.6490
408	   203.37	 0.6000
409	   203.71	 3.6440
410	   205.13	 2.6190
411	   205.22	 0.1230
412	   205.48	 0.4720
413	   206.23	 0.1230
414	   207.91	 3.0200
415	   208.91	 1.3700
416	   209.42	 1.5290
417	   210.84	 1.5900
418	   211.68	 0.3720
419	   212.19	 0.7550
420	   212.77	 1.6870
421	   213.36	 1.1470
422	   213.54	 0.1870
423	   213.63	 1.8900
424	   215.30	17.4390
425	   215.89	 1.1600
426	   216.31	 7.0630
427	   216.57	 0.1200
428	   216.82	 0.3410
429	   218.41	 0.8090
430	   218.75	 0.1190
431	   219.01	 0.3700
432	   219.09	 0.1220
433	   219.60	 0.1200
434	   219.86	 0.2770
435	   220.70	 0.2020
436	   221.12	 0.2150
437	   221.37	 0.1290
438	   221.96	 7.6800
439	   222.05	 4.8320
440	   223.14	 0.3160
441	   223.65	 0.6040
442	   224.57	 0.1190
443	   224.66	 3.8630
444	   226.08	 1.3500
445	   227.09	 2.6940
446	   227.34	 2.4300
447	   228.35	 0.4200
448	   228.44	 0.4200
449	   228.69	 1.8200
450	   229.20	 3.9790
451	   229.62	 1.3600
452	   229.96	 3.1000
453	   230.55	 1.8780
454	   231.39	 0.1200
455	   232.23	 0.2740
456	   232.73	 0.2910
457	   233.07	 3.0820
458	   233.16	 0.5680
459	   233.92	 3.6510
460	   234.17	 0.1510
461	   234.35	 0.4000
462	   234.60	 0.1210
463	   235.19	 1.1210
464	   235.53	 0.9000
465	   235.95	 0.1200
466	   236.38	18.3550
467	   236.55	 1.8390
468	   236.97	 0.9310
469	   237.39	 0.2700
470	   238.40	 3.1950
471	   239.07	 7.1940
472	   240.41	 0.8810
473	   241.75	 0.1180
474	   241.92	 0.2800
475	   242.01	 9.2490
476	   242.10	 3.7650
477	   242.69	 0.6250
478	   243.36	 2.6820
479	   243.53	 0.5970
480	   244.21	 4.1400
481	   244.80	 0.2600
482	   244.88	 0.5700
483	   245.06	 2.9090
484	   245.15	 0.5400
485	   245.24	 0.5100
486	   245.41	 1.0910
487	   245.50	 2.4680
488	   245.75	 3.4330
489	   245.92	 4.6400
490	   246.68	 1.5100
491	   246.94	 5.7720
492	   247.02	 0.1200
493	   247.61	 2.0890
494	   248.20	 0.1200
495	   248.79	 5.7590
496	   249.21	 0.1200
497	   249.47	 0.7310
498	   251.39	 0.1240
499	   252.40	 3.9810
500	   252.91	 1.9220
501	   254.41	 0.9600
502	   254.58	 4.5500
503	   254.84	 0.8800
504	   255.18	 0.9790
505	   255.60	 0.2990
506	   256.61	 0.1200
507	   256.78	 1.0500
508	   256.87	 3.7890
509	   257.79	 0.4180
510	   259.80	 0.7310
511	   259.89	 0.1410
512	   259.98	 1.7430
513	   260.15	 4.8910
514	   260.24	 0.1200
515	   260.33	 1.8410
516	   260.41	 2.1900
517	   260.75	 1.0800
518	   261.09	 0.2600
519	   261.60	 0.1180
520	   263.11	 0.7450
521	   263.28	 0.1190
522	   264.45	 0.1710
